State,District,Population,Tested_Date,Total_Tested,Total_Confirmed,Total_Recovered,Total_Deceased,Total_Vaccinated1,Total_Vaccinated2,Delta_Tested,Delta_Confirmed,Delta_Recovered,Delta_Deceased,Delta_Vaccinated1,Delta_Vaccinated2,Delta7_Tested,Delta7_Confirmed,Delta7_Recovered,Delta7_Deceased,Delta7_Vaccinated1,Delta7_Vaccinated2
Andaman and Nicobar Islands,Nicobars,36842,1970-01-01,0,0,0,0,25394,20313,0,0,0,0,0,0,0,0,0,0,62,811
Andaman and Nicobar Islands,North and Middle Andaman,105597,1970-01-01,0,0,0,0,78945,59522,0,0,0,0,0,8,0,0,0,0,90,1839
Andaman and Nicobar Islands,South Andaman,238142,1970-01-01,0,0,0,0,189662,120322,0,0,0,0,3,28,0,0,0,0,732,8012
Andhra Pradesh,Anantapur,4083315,2020-11-26,787085,157843,156699,1093,2690082,1611476,0,4,5,0,4575,5370,0,38,58,0,92803,140903
Andhra Pradesh,Chittoor,4170468,2020-11-26,780322,246935,244144,1947,2832987,1807873,0,64,87,1,878,1306,0,516,629,6,63824,119541
Andhra Pradesh,East Godavari,5151549,2020-11-26,944746,293836,291610,1290,3532220,1990578,0,87,121,0,41,237,0,604,520,0,36973,223236
Andhra Pradesh,Guntur,4889230,2020-11-26,833823,178068,176629,1237,3440118,1891773,0,33,198,0,1119,1248,0,272,619,4,285377,156818
Andhra Pradesh,Krishna,4529009,2020-11-26,782232,119348,117130,1430,2971604,1914927,0,46,71,1,51,337,0,422,467,9,75352,230788
Andhra Pradesh,Kurnool,4046601,2020-11-26,867361,124142,123264,853,2672759,1290419,0,6,3,0,4716,1538,0,25,26,0,178620,73119
Andhra Pradesh,Prakasam,3392764,2020-11-26,697340,138482,136989,1124,2321031,1521177,0,6,37,0,3292,5872,0,103,290,3,137338,130213
Andhra Pradesh,S.P.S. Nellore,2966082,2020-11-26,682964,146388,144919,1053,2143402,1403240,0,34,23,1,2724,1639,0,155,235,2,96973,114393
Andhra Pradesh,Srikakulam,2699471,2020-11-26,670899,123109,122136,786,1630248,974734,0,19,20,0,2,6,0,132,72,0,18883,129575
Andhra Pradesh,Visakhapatnam,4288113,2020-11-26,744983,157737,156492,1127,2999432,1864960,0,27,30,0,1309,2311,0,237,227,1,65301,207340
Andhra Pradesh,Vizianagaram,2342868,2020-11-26,531433,82967,82231,672,1393491,996097,0,7,11,1,601,1855,0,53,38,1,44847,123576
Andhra Pradesh,West Godavari,3934782,2020-11-26,793098,179077,177680,1117,2525317,1778807,0,40,44,0,878,1884,0,234,246,4,61021,146562
Andhra Pradesh,Y.S.R. Kadapa,2884524,2020-11-26,671761,115623,114904,644,1824032,1328711,0,12,25,0,1005,1101,0,82,163,0,65843,90958
Arunachal Pradesh,Anjaw,21089,2021-01-28,2845,1068,1065,3,11695,7957,0,0,0,0,0,0,0,0,0,0,45,452
Arunachal Pradesh,Changlang,147951,2021-01-28,23861,3807,3780,22,88857,55361,0,0,1,0,0,0,0,3,3,0,298,3803
Arunachal Pradesh,East Kameng,78413,2021-01-28,7489,1094,1094,0,22931,15646,0,0,0,0,0,1,0,0,0,0,76,409
Arunachal Pradesh,East Siang,99019,2021-01-28,21867,3206,3183,17,54001,39434,0,0,5,0,0,0,0,9,10,0,365,2013
Arunachal Pradesh,Kamle,22256,2021-01-28,1385,512,512,0,6946,3874,0,0,0,0,0,0,0,0,0,0,36,185
Arunachal Pradesh,Kurung Kumey,89717,2021-01-28,4201,511,510,1,9121,5601,0,0,0,0,0,0,0,0,0,0,27,255
Arunachal Pradesh,Lohit,145538,2021-01-28,14945,2885,2851,26,31120,22003,0,0,0,0,0,0,0,9,3,0,221,1494
