State,Date,Total_Tested,Total_Confirmed,Total_Recovered,Total_Deceased,Total_Vaccinated1,Total_Vaccinated2,Delta_Tested,Delta_Confirmed,Delta_Recovered,Delta_Deceased,Delta_Vaccinated1,Delta_Vaccinated2,Delta7_Tested,Delta7_Confirmed,Delta7_Recovered,Delta7_Deceased,Delta7_Vaccinated1,Delta7_Vaccinated2
Andaman and Nicobar Islands,2020-03-26,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Andaman and Nicobar Islands,2020-03-27,0,6,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0
Andaman and Nicobar Islands,2020-03-28,0,9,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0
Andaman and Nicobar Islands,2020-03-29,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
Andaman and Nicobar Islands,2020-03-30,0,10,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0
Andaman and Nicobar Islands,2020-03-31,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
Andaman and Nicobar Islands,2020-04-01,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
Andaman and Nicobar Islands,2020-04-02,0,10,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
Andaman and Nicobar Islands,2020-04-03,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Andaman and Nicobar Islands,2020-04-04,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Andaman and Nicobar Islands,2020-04-05,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Andaman and Nicobar Islands,2020-04-06,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman and Nicobar Islands,2020-04-07,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman and Nicobar Islands,2020-04-08,0,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Andaman and Nicobar Islands,2020-04-09,0,11,10,0,0,0,0,0,10,0,0,0,0,1,10,0,0,0
Andaman and Nicobar Islands,2020-04-10,0,11,10,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0
Andaman and Nicobar Islands,2020-04-11,0,11,10,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0
Andaman and Nicobar Islands,2020-04-12,0,11,10,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0
Andaman and Nicobar Islands,2020-04-13,0,11,10,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0
Andaman and Nicobar Islands,2020-04-14,0,11,10,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0
Andaman and Nicobar Islands,2020-04-15,0,11,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Andaman and Nicobar Islands,2020-04-16,0,11,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Andaman and Nicobar Islands,2020-04-17,1403,12,11,0,0,0,1403,1,0,0,0,0,1403,1,1,0,0,0
Andaman and Nicobar Islands,2020-04-18,1403,14,11,0,0,0,0,2,0,0,0,0,1403,3,1,0,0,0
Andaman and Nicobar Islands,2020-04-19,1403,15,11,0,0,0,0,1,0,0,0,0,1403,4,1,0,0,0
Andaman and Nicobar Islands,2020-04-20,1403,16,11,0,0,0,0,1,0,0,0,0,1403,5,1,0,0,0
Andaman and Nicobar Islands,2020-04-21,1403,17,11,0,0,0,0,1,0,0,0,0,1403,6,1,0,0,0
Andaman and Nicobar Islands,2020-04-22,1403,18,11,0,0,0,0,1,0,0,0,0,1403,7,1,0,0,0
Andaman and Nicobar Islands,2020-04-23,1403,22,11,0,0,0,0,4,0,0,0,0,1403,11,0,0,0,0
Andaman and Nicobar Islands,2020-04-24,2679,29,11,0,0,0,1276,7,0,0,0,0,1276,17,0,0,0,0
Andaman and Nicobar Islands,2020-04-25,2679,33,11,0,0,0,0,4,0,0,0,0,1276,19,0,0,0,0
Andaman and Nicobar Islands,2020-04-26,2679,33,11,0,0,0,0,0,0,0,0,0,1276,18,0,0,0,0
Andaman and Nicobar Islands,2020-04-27,2848,33,11,0,0,0,169,0,0,0,0,0,1445,17,0,0,0,0
Andaman and Nicobar Islands,2020-04-28,2848,33,15,0,0,0,0,0,4,0,0,0,1445,16,4,0,0,0
Andaman and Nicobar Islands,2020-04-29,2848,33,15,0,0,0,0,0,0,0,0,0,1445,15,4,0,0,0
Andaman and Nicobar Islands,2020-04-30,2848,33,16,0,0,0,0,0,1,0,0,0,1445,11,5,0,0,0
Andaman and Nicobar Islands,2020-05-01,3754,33,16,0,0,0,906,0,0,0,0,0,1075,4,5,0,0,0
Andaman and Nicobar Islands,2020-05-02,3754,33,26,0,0,0,0,0,10,0,0,0,1075,0,15,0,0,0
Andaman and Nicobar Islands,2020-05-03,3754,33,32,0,0,0,0,0,6,0,0,0,1075,0,21,0,0,0
Andaman and Nicobar Islands,2020-05-04,3754,33,32,0,0,0,0,0,0,0,0,0,906,0,21,0,0,0
Andaman and Nicobar Islands,2020-05-05,3754,33,32,0,0,0,0,0,0,0,0,0,906,0,17,0,0,0
Andaman and Nicobar Islands,2020-05-06,3754,33,32,0,0,0,0,0,0,0,0,0,906,0,17,0,0,0
Andaman and Nicobar Islands,2020-05-07,3754,33,33,0,0,0,0,0,1,0,0,0,906,0,17,0,0,0
Andaman and Nicobar Islands,2020-05-08,3754,33,33,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
Andaman and Nicobar Islands,2020-05-09,3754,33,33,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Andaman and Nicobar Islands,2020-05-10,3754,33,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Andaman and Nicobar Islands,2020-05-11,3754,33,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Andaman and Nicobar Islands,2020-05-12,3754,33,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Andaman and Nicobar Islands,2020-05-13,3754,33,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Andaman and Nicobar Islands,2020-05-14,3754,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman and Nicobar Islands,2020-05-15,3754,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman and Nicobar Islands,2020-05-16,6677,33,33,0,0,0,2923,0,0,0,0,0,2923,0,0,0,0,0
